,year,price
661,2016,16450
662,2019,21990
663,2018,26480
664,2017,20790
665,2019,53990
666,2016,19490
667,2018,27990
668,2017,18998
669,2016,20498
670,2015,20498
671,2016,21498
672,2017,18698
673,2016,22998
674,2020,66990
675,2020,28990
676,2019,31990
677,2016,14450
678,2017,27990
679,2016,19690
680,2018,38990
681,2017,15590
682,2019,45990
683,2017,37950
684,2018,36850
685,2019,30950
686,2019,99950
687,2019,54990
688,2019,24950
689,2019,25950
690,2019,34950
691,2020,32950
692,2019,35490
693,2020,23690
694,2017,27990
695,2019,20990
696,2019,24990
697,2018,21990
698,2015,14750
699,2017,27950
700,2017,27790
701,2019,21450
702,2018,20295
703,2018,18990
704,2019,19990
705,2019,36490
706,2018,33990
707,2019,18490
708,2019,21450
709,2018,17990
710,2018,17990
711,2018,19498
712,2017,25498
713,2015,13109
714,2019,27990
715,2019,29490
716,2019,19990
717,2015,21967
718,2013,9798
719,2016,21998
720,2018,26998
721,2016,17998
722,2017,18998
723,2014,15498
724,2015,12691
725,2014,16087
726,2013,11991
727,2013,9600
728,2014,11791
729,2015,10991
730,2014,13251
731,2016,13691
732,2015,10991
733,2016,15291
734,2015,11991
735,2018,19991
736,2017,13291
737,2016,14521
738,2018,20991
739,2017,23791
740,2018,23498
741,2015,32998
742,2017,20998
743,2014,13491
744,2016,15378
745,2015,15990
746,2017,26027
747,2019,44990
748,2016,17991
749,2019,47484
750,2017,13587
751,2016,15597
752,2015,16310
753,2019,49500
754,2019,44990
755,2019,25490
756,2020,21990
757,2018,20991
758,2019,19511
759,2017,18200
760,2017,27520
761,2020,45990
762,2015,13621
763,2016,17991
764,2017,17047
765,2017,27990
766,2015,14550
767,2016,16411
768,2017,16991
769,2016,26320
770,2018,20990
771,2017,27490
772,2016,18300
773,2018,18950
774,2017,22750
775,2019,21250
776,2017,27950
777,2016,29990
778,2016,21990
779,2016,20490
780,2015,14980
781,2018,43990
782,2017,20750
783,2018,26625
784,2019,23690
785,2019,25240
786,2019,18240
787,2017,24780
788,2017,24510
789,2019,32340
790,2019,20991
791,2019,27890
792,2019,21291
793,2019,21190
794,2019,22990
795,2019,18990
796,2017,21650
797,2019,42590
798,2019,24690
799,2017,18270
800,2018,24690
801,2015,13000
802,2018,28295
803,2018,20498
804,2013,11998
805,2013,14498
806,2017,13298
807,2017,28498
808,2016,15998
809,2015,11998
810,2017,15990
811,2019,20741
812,2017,20591
813,2019,27991
814,2016,19991
815,2017,38580
816,2016,18435
817,2018,20490
818,2018,17990
819,2019,19990
820,2018,18490
821,2019,18085
822,2019,18790
823,2017,29991
824,2017,16990
825,2019,30055
826,2019,20640
827,2019,19599
828,2019,20450
829,2016,13490
830,2017,19290
831,2016,20990
832,2016,14490
833,2017,33990
834,2017,19490
835,2016,13291
836,2015,18191
837,2016,20991
838,2017,20871
839,2018,25891
840,2016,18391
841,2017,28991
842,2016,22498
843,2017,24498
844,2015,13498
845,2015,21998
846,2014,15898
847,2017,19798
848,2014,16998
849,2017,21998
850,2017,30298
851,2019,24498
852,2017,14270
853,2018,19498
854,2015,17998
855,2017,21998
856,2016,34998
857,2017,16498
858,2016,21998
859,2014,13495
860,2015,14500
861,2016,34698
862,2018,31998
863,2019,22990
864,2019,41550
865,2016,18991
866,2016,15561
867,2019,19991
868,2019,19531
869,2019,21530
870,2018,17990
871,2015,13361
872,2017,27692
873,2019,21035
874,2017,17490
875,2019,26427
876,2018,20570
877,2018,18990
878,2017,21991
879,2019,20991
880,2018,21591
881,2017,17990
882,2019,20990
883,2019,18190
884,2019,22990
885,2018,20890
886,2019,19250
887,2019,20990
888,2019,20750
889,2019,18190
890,2018,29990
891,2018,23995
892,2015,12590
893,2016,16485
894,2015,13485
895,2018,18940
896,2018,20885
897,2018,26890
898,2018,15995
899,2014,25885
900,2018,20485
901,2016,14965
902,2017,20480
903,2018,41990
904,2017,16595
905,2018,17940
906,2016,18485
907,2018,19940
908,2016,18990
909,2017,17698
910,2013,25998
911,2015,17450
912,2015,18495
913,2015,24950
914,2016,14450
915,2014,11950
916,2017,21950
917,2016,13695
918,2015,16440
919,2014,9891
920,2017,24735
921,2017,20999
922,2016,14999
923,2017,16999
924,2016,29499
925,2016,17990
926,2019,27000
927,2015,19991
928,2017,21391
929,2017,25991
930,2019,37999
931,2020,26999
932,2019,45990
933,2016,18999
934,2020,26499
935,2014,7495
936,2016,12390
937,2014,11495
938,2013,10495
939,2019,24489
940,2016,29999
941,2017,24998
942,2018,20698
943,2018,19998
944,2015,16998
945,2017,32998
946,2017,25998
947,2017,31998
948,2017,22498
949,2015,12998
950,2017,12499
951,2016,17791
952,2016,13999
953,2019,38999
954,2019,57995
955,2014,17998
956,2016,17999
957,2017,17495
958,2018,21999
959,2018,22699
960,2017,24999
961,2016,17999
962,2015,17450
963,2015,16499
964,2016,17999
965,2019,89999
966,2019,56499
967,2019,31999
968,2017,16999
969,2019,55499
970,2019,46999
971,2019,25495
972,2019,36995
973,2019,30999
974,2019,24995
975,2019,44999
976,2019,29999
977,2016,19999
978,2017,23499
979,2018,28499
980,2020,39499
981,2017,24999
982,2017,13999
983,2019,26499
984,2020,26999
985,2020,23999
986,2020,23999
987,2020,25999
988,2018,23499
989,2018,19490
990,2019,29290
991,2019,20461
992,2017,23047
993,2015,17991
994,2016,20700
995,2019,33495
996,2015,16791
997,2016,17699
998,2019,27791
999,2019,18499
1000,2019,18499
1001,2019,18499
1002,2019,18499
1003,2019,18499
1004,2019,24491
1005,2020,54999
1006,2019,18499
1007,2018,27999
1008,2016,21299
1009,2017,17999
1010,2019,19999
1011,2019,104999
1012,2017,21999
1013,2017,24699
1014,2017,20999
1015,2020,24799
1016,2020,32999
1017,2019,24491
1018,2017,13999
1019,2019,39999
1020,2019,31990
1021,2018,20999
1022,2019,35499
1023,2017,24695
1024,2017,22350
1025,2015,16810
1026,2016,18238
1027,2016,18990
1028,2015,15637
1029,2015,16990
1030,2017,24994
1031,2019,21991
1032,2015,15498
1033,2017,54999
1034,2015,18999
1035,2018,26499
1036,2020,36995
1037,2020,31499
1038,2020,67999
1039,2020,52999
1040,2019,44999
1041,2020,34999
1042,2016,22680
1043,2017,23390
1044,2017,22440
1045,2016,17820
1046,2018,19350
1047,2017,16550
1048,2016,25980
1049,2018,16450
1050,2017,22970
1051,2016,19330
1052,2017,14998
1053,2014,15498
1054,2016,15998
1055,2016,16498
1056,2015,17960
1057,2015,16998
1058,2016,19698
1059,2017,29498
1060,2016,16998
1061,2017,16998
1062,2015,19998
1063,2016,14800
1064,2013,9881
1065,2014,13447
1066,2015,13498
1067,2016,19798
1068,2019,24450
1069,2019,20850
1070,2019,20380
1071,2019,20980
1072,2019,25640
1073,2018,17990
1074,2018,19490
1075,2018,19660
1076,2017,22590
1077,2017,19340
1078,2017,20780
1079,2015,15880
1080,2017,15840
1081,2017,20290
1082,2018,27880
1083,2017,21820
1084,2017,17600
1085,2016,19640
1086,2014,10650
1087,2016,13660
1088,2016,29950
1089,2018,19998
1090,2016,17450
1091,2016,18740
1092,2017,19990
1093,2017,29840
1094,2018,29440
1095,2019,19840
1096,2016,15290
1097,2016,14580
1098,2019,20780
1099,2017,23990
1100,2016,17498
1101,2017,26998
1102,2017,15750
1103,2017,16750
1104,2016,19750
1105,2017,29498
1106,2017,25498
1107,2014,13991
1108,2013,11991
1109,2017,18660
1110,2017,16980
1111,2019,28660
1112,2017,19490
1113,2017,21770
1114,2018,19991
1115,2019,25990
1116,2019,28660
1117,2019,19990
1118,2019,45550
1119,2016,19770
1120,2018,19950
1121,2018,15491
1122,2013,12210
1123,2016,14580
1124,2017,26600
1125,2014,13970
1126,2014,10990
1127,2013,15880
1128,2013,10630
1129,2014,15280
1130,2019,21490
1131,2014,8200
1132,2013,10857
1133,2017,27998
1134,2017,21498
1135,2016,19290
1136,2016,16390
1137,2016,12780
1138,2014,17660
1139,2018,20550
1140,2016,18350
1141,2018,18290
1142,2017,28998
1143,2015,30698
1144,2017,18798
1145,2017,27498
1146,2017,18298
1147,2014,9498
1148,2017,26998
1149,2015,14498
1150,2016,16998
1151,2015,19298
1152,2015,16990
1153,2015,13527
1154,2018,19998
1155,2013,15890
1156,2015,13240
1157,2013,16770
1158,2016,11990
1159,2017,19890
1160,2015,12880
1161,2017,18660
1162,2014,14498
1163,2015,16995
1164,2016,19798
1165,2017,22498
1166,2016,27998
1167,2016,16998
1168,2018,20498
1169,2016,21998
1170,2015,20498
1171,2016,19498
1172,2015,19298
1173,2015,21498
1174,2014,20998
1175,2018,31298
1176,2013,9498
1177,2019,19998
1178,2016,17998
1179,2019,22599
1180,2017,19999
1181,2018,24799
1182,2017,13499
1183,2014,10495
1184,2018,18995
1185,2017,36995
1186,2017,17495
1187,2017,18995
1188,2016,17495
1189,2019,37499
1190,2018,27495
1191,2019,21499
1192,2018,57995
1193,2018,56000
1194,2017,35995
1195,2019,22490
1196,2019,23395
1197,2019,21795
1198,2017,33495
1199,2018,39999
1200,2018,21999
1201,2014,23495
1202,2017,24790
1203,2019,46495
1204,2019,34790
1205,2016,23790
1206,2017,18495
1207,2019,22499
1208,2015,17960
1209,2014,17350
1210,2016,23920
1211,2018,20490
1212,2018,20490
1213,2018,18990
1214,2019,19990
1215,2017,22960
1216,2016,15770
1217,2019,22270
1218,2019,25795
1219,2016,25495
1220,2019,24999
1221,2016,28490
1222,2019,62495
1223,2018,28499
1224,2019,26890
1225,2019,35990
1226,2019,26885
1227,2017,27999
1228,2016,15699
1229,2017,18499
1230,2017,15499
1231,2019,25499
1232,2019,24995
1233,2019,26499
1234,2017,21495
1235,2019,24499
1236,2019,30495
1237,2019,29999
1238,2019,26499
1239,2017,31498
1240,2019,13498
1241,2015,17998
1242,2014,12498
1243,2014,15998
1244,2016,23998
1245,2016,27998
1246,2017,20498
1247,2017,19498
1248,2017,19698
1249,2016,14770
1250,2018,17218
1251,2016,16820
1252,2018,19097
1253,2018,19097
1254,2016,25100
1255,2016,16328
1256,2014,17330
1257,2017,17789
1258,2015,17044
1259,2020,23990
1260,2018,15500
1261,2020,21990
1262,2020,25990
1263,2017,24250
1264,2017,17330
1265,2015,13500
1266,2017,18795
1267,2015,15837
1268,2016,15220
1269,2016,17765
1270,2016,14220
1271,2017,22260
1272,2017,36999
1273,2016,19495
1274,2019,27799
1275,2016,18880
1276,2019,41880
1277,2019,30990
1278,2019,38880
1279,2019,28880
1280,2019,28990
1281,2016,18700
1282,2018,19495
1283,2017,16299
1284,2017,23499
1285,2017,79999
1286,2019,18499
1287,2019,19895
1288,2019,27595
1289,2018,22880
1290,2018,19097
1291,2018,19097
1292,2017,17997
1293,2019,16930
1294,2017,20500
1295,2017,19395
1296,2016,17863
1297,2016,20105
1298,2017,21100
1299,2016,18037
1300,2016,17997
1301,2018,18927
1302,2018,19127
1303,2019,28400
1304,2019,21835
1305,2019,20130
1306,2018,18436
1307,2016,22765
1308,2019,18718
1309,2016,17770
1310,2017,18433
1311,2017,19231
1312,2019,18499
1313,2020,34999
1314,2016,21440
1315,2015,16690
1316,2017,18447
1317,2016,17462
1318,2016,12456
1319,2017,16979
1320,2017,22170
1321,2018,15694
1322,2016,15490
1323,2017,19890
1324,2016,17690
1325,2016,17690
1326,2017,21290
1327,2020,35400
1328,2020,35400
1329,2020,25490
1330,2017,20990
1331,2018,20855
1332,2017,21115
1333,2019,19990
1334,2019,19990
1335,2019,21497
1336,2019,21840
1337,2017,16898
1338,2014,16498
1339,2017,31998
1340,2018,27498
1341,2016,19498
1342,2020,29999
1343,2017,16499
1344,2016,14999
1345,2016,18799
1346,2018,23499
1347,2017,19799
1348,2019,53999
1349,2019,19999
1350,2018,19297
1351,2018,18885
1352,2019,22990
1353,2019,18904
1354,2018,27698
1355,2016,7750
1356,2018,18250
1357,2018,28500
1358,2014,9500
1359,2016,18295
1360,2018,18995
1361,2017,23495
1362,2016,21995
1363,2017,26995
1364,2016,16695
1365,2018,41995
1366,2015,11995
1367,2017,15195
1368,2013,10995
1369,2017,21565
1370,2017,21697
1371,2017,20370
1372,2019,46770
1373,2013,24530
1374,2017,16190
1375,2016,20990
1376,2017,15990
1377,2015,15770
1378,2017,21690
1379,2014,14975
1380,2013,10950
1381,2014,13990
1382,2016,15750
1383,2016,15790
1384,2016,15990
1385,2014,12750
1386,2014,15990
1387,2017,18295
1388,2016,21295
1389,2014,12795
1390,2015,16995
1391,2017,18995
1392,2017,18990
1393,2015,17450
1394,2013,14990
1395,2018,21990
1396,2013,14750
1397,2014,13950
1398,2017,16450
1399,2017,14950
1400,2017,27950
1401,2016,11450
1402,2016,18250
1403,2017,17495
1404,2018,16195
1405,2016,24495
1406,2017,25995
1407,2014,15495
1408,2014,12450
1409,2015,14990
1410,2015,17790
1411,2015,13490
1412,2016,17990
1413,2015,25990
1414,2016,15290
1415,2014,11990
1416,2017,15495
1417,2016,14495
1418,2016,15295
1419,2016,20995
1420,2016,17699
1421,2017,17299
1422,2018,16499
1423,2016,16499
1424,2018,20495
1425,2019,24736
1426,2019,33995
1427,2017,18495
1428,2017,28699
1429,2015,17491
1430,2019,28995
1431,2019,47995
1432,2019,24795
1433,2016,13999
1434,2017,15999
1435,2016,19501
1436,2018,21495
1437,2017,14995
1438,2019,26499
1439,2018,41999
1440,2019,25499
1441,2018,31950
1442,2016,18795
1443,2018,22499
1444,2017,15065
1445,2017,21190
1446,2017,22998
1447,2018,18998
1448,2014,12998
1449,2015,14998
1450,2014,12498
1451,2015,12998
1452,2014,11498
1453,2017,21595
1454,2017,21295
1455,2016,19995
1456,2018,21795
1457,2018,21495
1458,2018,20795
1459,2014,13799
1460,2019,24999
1461,2019,26499
1462,2019,21499
1463,2014,9999
1464,2019,26999
1465,2017,19999
1466,2015,19995
1467,2020,32499
1468,2015,13448
1469,2018,33991
1470,2020,31991
1471,2019,37891
1472,2019,22995
1473,2019,39950
1474,2016,14495
1475,2015,13995
1476,2016,22499
1477,2017,26999
1478,2015,15995
1479,2019,21995
1480,2017,25995
1481,2016,19990
1482,2014,10190
1483,2016,18995
1484,2015,17485
1485,2017,17695
1486,2016,19845
1487,2016,23245
1488,2016,19495
1489,2017,15995
1490,2016,15998
1491,2017,24698
1492,2017,30998
1493,2016,14398
1494,2015,15998
1495,2014,15998
1496,2017,23998
1497,2018,21996
1498,2018,19346
1499,2019,20391
1500,2019,20995
1501,2018,19950
1502,2013,11950
1503,2016,15995
1504,2013,11950
1505,2016,15995
1506,2018,19950
1507,2017,17695
1508,2016,21995
1509,2016,21495
1510,2017,16679
1511,2013,11036
1512,2013,12498
1513,2015,14998
1514,2015,15998
1515,2014,13750
1516,2016,22995
1517,2019,18990
1518,2018,17990
1519,2017,16490
1520,2016,36999
1521,2015,14490
1522,2016,15490
1523,2014,9914
1524,2017,16350
1525,2015,10477
1526,2014,11353
1527,2017,20998
1528,2015,12498
1529,2018,18998
1530,2017,19780
1531,2016,14056
1532,2015,15300
1533,2016,15990
1534,2017,19498
1535,2016,28498
1536,2017,18995
1537,2014,8160
1538,2017,19810
1539,2015,16998
1540,2017,16998
1541,2016,20498
1542,2019,21998
1543,2015,12798
1544,2014,10490
1545,2017,20157
1546,2015,22553
1547,2017,38000
1548,2017,27250
1549,2015,11850
1550,2015,22500
1551,2016,16990
1552,2016,17240
1553,2015,11990
1554,2014,16360
1555,2018,27500
1556,2014,11999
1557,2017,27498
1558,2017,15998
1559,2015,14999
1560,2017,17000
1561,2017,16210
1562,2016,16747
1563,2015,11640
1564,2018,23440
1565,2018,17495
1566,2016,16490
1567,2017,20400
1568,2014,14790
1569,2016,16990
1570,2014,10790
1571,2017,16998
1572,2017,19998
1573,2013,8998
1574,2016,15870
1575,2016,16700
1576,2016,16990
1577,2015,10490
1578,2014,11149
1579,2016,17490
1580,2014,13532
1581,2017,22881
1582,2015,16490
1583,2015,16500
1584,2016,25750
1585,2017,27495
1586,2016,20995
1587,2016,28495
1588,2018,25495
1589,2015,13177
1590,2014,15971
1591,2015,18500
1592,2016,15765
1593,2014,14495
1594,2016,15990
1595,2016,16500
1596,2015,18500
1597,2014,13250
1598,2014,15250
1599,2016,24000
1600,2015,15000
1601,2016,14250
1602,2017,20498
1603,2015,18902
1604,2016,24486
1605,2017,19696
1606,2018,18562
1607,2017,13790
1608,2016,14590
1609,2018,16998
1610,2015,14698
1611,2014,14288
1612,2013,9750
1613,2017,20995
1614,2017,15995
1615,2015,11995
1616,2017,14995
1617,2016,16995
1618,2016,11495
1619,2015,22965
1620,2017,19465
1621,2013,13965
1622,2016,16965
1623,2018,19998
1624,2013,9480
1625,2019,27036
1626,2019,25276
1627,2019,27316
1628,2019,22096
1629,2019,30236
1630,2019,22096
1631,2017,16402
1632,2019,20682
1633,2018,29232
1634,2016,12862
1635,2013,10996
1636,2015,13490
1637,2017,17490
1638,2016,16990
1639,2014,11472
1640,2016,27995
1641,2015,12995
1642,2015,19600
1643,2015,15500
1644,2020,25980
1645,2017,18012
1646,2017,22532
1647,2015,20412
1648,2018,22412
1649,2018,31026
1650,2019,25146
1651,2019,22076
1652,2017,18936
1653,2017,19722
1654,2016,17990
1655,2017,20981
1656,2016,20782
1657,2019,67600
1658,2017,16592
1659,2018,29712
1660,2019,20776
1661,2018,19998
1662,2017,17765
1663,2018,18265
1664,2014,10765
